The paper introduces a novel parallelisation scheme for machine learning algorithms based on iteratively computing Radon points of hypotheses generated from random subsets of the data. This “Radon machine” aims to achieve significant runtime reductions – potentially polylogarithmic – while maintaining theoretical performance guarantees, at the cost of increased sample complexity. The authors demonstrate the efficacy of their approach through both theoretical analysis and empirical evaluation, comparing it to standard parallelisation techniques like averaging and implementations within the Spark MLlib library.

This work addresses an important challenge in scaling machine learning to large datasets and demanding applications where confidence in predictions is paramount. The proposed framework offers a promising “black-box” approach to parallelisation, requiring minimal modification to existing learning algorithms. The theoretical contribution, establishing a link to Nick’s Class and providing complexity bounds, is well-motivated and presented. The empirical results, demonstrating substantial speedups compared to both sequential and existing parallel algorithms, are encouraging. The connection to Radon points and their properties, while perhaps unfamiliar to some machine learning practitioners, is clearly explained and justified.

A primary strength of the paper lies in its rigorous theoretical analysis and clear exposition of the Radon machine’s mechanics. The proof of Theorem 3, showing doubly exponential reduction in error probability with each iteration, is particularly compelling. The empirical evaluation is well-designed and demonstrates practical benefits in realistic scenarios.  The comparison with Spark MLlib provides valuable context and highlights the potential of the Radon machine.

However, the paper also has some limitations. The empirical evaluation predominantly focuses on relatively low-dimensional datasets. While the authors acknowledge this and briefly discuss approaches for handling high-dimensional data (e.g., random projections, low-rank approximations), the effectiveness of these techniques within the Radon machine framework is not demonstrated empirically.  A more thorough investigation of the Radon machine’s performance on higher-dimensional problems would significantly strengthen the paper. Furthermore, the discussion of communication complexity, while acknowledged as important, is brief. Exploring the communication costs associated with the Radon point calculations, particularly in distributed environments, would be beneficial.  Finally, the paper could benefit from a more detailed discussion of potential challenges and limitations when applying the scheme to non-linear models, beyond simply mentioning low-dimensional embeddings.

**Arguments for acceptance:**

*   Novel and theoretically sound approach to parallel machine learning.
*   Strong theoretical guarantees and rigorous analysis.
*   Demonstrated empirical speedups compared to existing methods.
*   “Black-box” nature allows broad applicability to existing algorithms.
*   Addresses an important problem in scalable machine learning.

**Arguments against acceptance:**

*   Empirical evaluation primarily focuses on low-dimensional datasets.
*   Limited discussion of communication complexity.
*   Insufficiently detailed treatment of applying the scheme to non-linear models.



**Overall Assessment:**  The paper presents a valuable contribution to the field of parallel machine learning. While the limitations regarding high-dimensionality and communication costs should be addressed, the strengths of the work – particularly its theoretical rigor and promising empirical results – outweigh these concerns. I recommend acceptance with minor revisions to address the aforementioned points. Specifically, the authors should expand their empirical evaluation to include higher-dimensional datasets and provide a more in-depth discussion of communication complexity and the application to non-linear models.
