This paper presents a novel and theoretically grounded approach to risk-sensitive reinforcement learning, extending policy gradient methods to encompass the broad class of coherent risk measures. These measures, widely used in finance and operations research, offer a more nuanced approach to decision-making under uncertainty than traditional expected cost minimization. The authors cleverly leverage the dual representation of coherent risk measures – characterizing them as the maximum expected value over a convex hull of probability distributions – to derive analytic gradient formulas and a general sampling-based gradient estimation algorithm applicable to both static and dynamic risk settings. This unification of existing approaches, and generalization to a wider class of risk measures, is a significant contribution.

The work builds upon and extends recent studies focusing on specific risk measures like variance and Conditional Value-at-Risk (CVaR).  Crucially, it doesn’t restrict itself to these examples but provides a framework for analyzing *any* coherent risk measure.  The authors convincingly demonstrate that previous results often emerge as special cases within their more general framework, offering a degree of simplification and elegance.  The proposed gradient estimation algorithms, combining sampling with convex programming, appear practical and scalable, particularly for large or continuous Markov Decision Processes (MDPs) where dynamic programming suffers from the curse of dimensionality. 

The strengths of this paper are numerous. The technical presentation is remarkably clear and well-organized, making the complex concepts accessible even to readers unfamiliar with the intricacies of risk-sensitive optimization. The thorough literature review correctly situates the work within the existing body of research and highlights its unique contribution. The mathematical derivations appear rigorous, though a detailed verification of the proofs would be necessary for a complete assessment.  The paper explicitly addresses the challenges associated with dynamic risk measures, proposing an actor-critic style algorithm that builds upon the static gradient estimation results.  Finally, the inclusion of a numerical example, albeit brief, effectively illustrates the potential impact of different risk preferences on policy selection.

However, the paper is not without its weaknesses.  While the theoretical framework is robust, the empirical evaluation feels somewhat limited. The example presented, while insightful, would benefit from a more comprehensive exploration of different MDP environments and a more detailed comparison of the proposed algorithms against existing state-of-the-art risk-sensitive RL methods. A more thorough empirical analysis would bolster the claims regarding scalability and practical performance.

Several points could be clarified to enhance the paper’s accessibility. The notation in the preliminaries section is dense and could benefit from a more intuitive explanation. Specifically, the roles of $P_{\theta}$ and the weighting function ξ need to be explained with greater clarity.  Furthermore, the authors state that Assumption 2.2 provides a ‘more restrictive’ formulation than Theorem 2.1, which seems counterintuitive given Theorem 2.1 is a general representation result. This statement requires further justification.

From a theoretical standpoint, it would be valuable to briefly comment on the extent to which the analysis generalizes to continuous distributions, given the initial restriction to finite probability spaces.  Additionally, a mention of the importance of smoothness of the constraint functions in proving Theorem 4.2 would strengthen the discussion.  The assumption of smoothness, while plausible for many common risk measures, is crucial for the derivation and should be explicitly acknowledged.

**Arguments for acceptance:**

*   Novel and theoretically sound approach to risk-sensitive RL.
*   Unification and generalization of existing methods.
*   Clear and well-organized presentation.
*   Potentially scalable algorithms for large MDPs.
*   Contribution to a growing and important area of research.

**Arguments against acceptance:**

*   Limited empirical evaluation.
*   Minor clarity issues in the preliminaries.
*   Lack of discussion on generalization to continuous distributions.
*   Need for careful verification of the proofs.



**Overall, this is a strong paper with the potential to significantly advance the field of risk-sensitive reinforcement learning.** While a more extensive empirical evaluation and clarification of a few technical points would be beneficial, the theoretical contributions are substantial. I recommend acceptance, contingent upon the authors addressing the minor concerns outlined above and providing a more detailed justification for the claims made.  I rate this paper as a **strong accept.**
