**Summary of the Paper and Main Contributions**

The paper presents a transition-based parser that jointly produces syntactic and semantic dependencies. The parser uses stack long short-term memories (LSTMs) to learn a representation of the entire algorithm state. The main contributions of this work are:

1. A joint syntactic and semantic dependency parser that learns a representation of the entire algorithm state using stack LSTMs.
2. A greedy inference algorithm with linear time complexity, including feature extraction.
3. State-of-the-art performance on the CoNLL 2008 and 2009 English shared tasks for joint syntactic and semantic dependency parsing.

**Strengths**

1. The paper presents a novel approach to joint syntactic and semantic dependency parsing using stack LSTMs, which allows for the learning of a representation of the entire algorithm state.
2. The parser achieves state-of-the-art performance on the CoNLL 2008 and 2009 English shared tasks, demonstrating the effectiveness of the approach.
3. The paper provides a detailed analysis of the parser's performance on different datasets and tasks, including a comparison with other state-of-the-art systems.
4. The parser's greedy inference algorithm has linear time complexity, making it efficient and scalable.
5. The paper discusses the potential benefits of the approach, including the ability to bypass expensive features and the potential for improved performance on out-of-domain data.

**Weaknesses**

1. The paper does not provide a detailed comparison with other joint syntactic and semantic dependency parsing approaches, making it difficult to assess the novelty and impact of the work.
2. The parser's performance on non-English datasets is not as strong as on English datasets, suggesting that the approach may not be as effective for languages with different grammatical structures.
3. The paper does not discuss the potential limitations of the approach, including the reliance on pretrained word embeddings and the potential for overfitting.
4. The parser's performance on out-of-domain data is not as strong as on in-domain data, suggesting that the approach may not be as effective for generalizing to new domains.
5. The paper does not provide a detailed analysis of the parser's errors, making it difficult to assess the potential areas for improvement.

**Questions to Authors**

1. Can you provide a more detailed comparison with other joint syntactic and semantic dependency parsing approaches, including a discussion of the novelty and impact of your work?
2. How do you plan to address the limitations of the approach, including the reliance on pretrained word embeddings and the potential for overfitting?
3. Can you provide more information on the parser's performance on out-of-domain data, including a discussion of the potential reasons for the decrease in performance?
4. How do you plan to improve the parser's performance on non-English datasets, including a discussion of the potential modifications to the approach?
5. Can you provide a more detailed analysis of the parser's errors, including a discussion of the potential areas for improvement?
