## Review of "Learning Supervised PageRank with Gradient-Based and Gradient-Free Optimization Methods"

This paper investigates learning Supervised PageRank models with feature-based node/edge weights, addressing a known limitation of prior work lacking convergence guarantees. The authors propose combining stationary-distribution approximation for Markov walks with both gradient-based and gradient-free optimization methods, aiming to provide theoretical convergence rates for both. While the motivation is sound and the theoretical contributions appear substantial, the paper suffers from significant clarity, presentation, and empirical validation issues.

The core idea of leveraging inexact oracles for both gradient and gradient-free methods is interesting and potentially valuable. The theoretical results – lemmas bounding approximate gradients and a performance theorem for a biased gradient-free oracle – represent a significant effort. However, the presentation is dense and difficult to follow. The paper frequently references prior work ([21] specifically) but incorrectly identifies it as “Supervised PageRank” when it is actually “Semi-Supervised PageRank,” indicating a lack of careful attention to detail. 

A major weakness lies in the experimental evaluation. The authors test their algorithms on a web graph used in related work, but defer detailed results and analysis to the appendix. Critically, key experimental parameters are not reported in the main text, making it impossible to assess the validity or reproducibility of the results. The extent of improvement over baselines is vaguely stated, and it’s unclear whether the experiments were conducted on a diverse set of graphs or datasets.  Furthermore, important choices made during experimentation (e.g., selection of *phi0* and *R*) are not explained, hindering understanding of the algorithm's sensitivity to these parameters. 

The writing quality is poor, with numerous grammatical errors and sloppy citations. Several technical assumptions also appear unrealistic and may limit the practical applicability of the proposed methods. The constraint of searching *phi* within an *R*-ball around *phi0* is not adequately justified and could severely restrict efficacy. 

**Arguments for Acceptance:**

*   Strong theoretical foundation with convergence guarantees for both gradient-based and gradient-free methods.
*   Addresses a known limitation of previous Supervised PageRank approaches.
*   Potential for improving ranking performance in web search and related applications.

**Arguments Against Acceptance:**

*   Poor writing quality and numerous grammatical errors.
*   Lack of clarity and insufficient detail in the experimental setup and results.
*   Unclear significance of the claimed improvements.
*   Unrealistic technical assumptions and limitations of the search space.
*   The bulk of the technical content is relegated to the appendix.



**Overall:** Despite the strong theoretical contributions, the paper, in its current form, is not suitable for acceptance to a competitive conference like NIPS. The lack of clarity, insufficient experimental validation, and poor presentation significantly detract from the value of the work. A major revision addressing these issues is necessary before reconsideration.
