## Review of "Graphical Models for Recovering Probabilistic and Causal Queries from Missing Data"

This paper extends previous work on recovering queries from data with missing entries, specifically building upon Mohan et al. [2013]. The core contribution lies in providing more general graphical conditions for recovering both probabilistic queries (P(y|x), P(y,x)) and, crucially, causal queries (P(y|do(x))) under various missingness mechanisms.  A key finding is that causal effects can be recoverable even when the underlying probabilistic relationships are not, a result demonstrated through refined graphical criteria and applications to attrition problems. The authors leverage and extend the framework of ‘Missingness Graphs’ (m-graphs) for representing missing data processes.

The paper's **strengths** are significant. The extension of recoverability criteria to causal queries is a valuable addition, addressing a gap in the existing literature. The theorems presented (1-6) are mathematically sound and supported by illustrative examples. The connection to attrition problems makes the work practically relevant. The paper is thorough in relating its contributions to existing work in missing data handling, covering methods like maximum likelihood, inverse probability weighting, and prior work on graphical models for missing data.  The detailed discussion of recoverability, non-recoverability, and the nuances of sequential factorization are well-explained. 

However, the paper also has **weaknesses**.  While the theoretical development is rigorous, the presentation can be dense and challenging to follow without a strong background in causal inference and graphical models. The notation is heavy, potentially hindering accessibility. While examples are provided, expanding these to more complex scenarios would strengthen the understanding. Although related work is discussed, a more focused discussion on recent advancements in missing data imputation methods (e.g., multiple imputation using deep learning) would provide a more current context. The paper occasionally states implications ("rectifies prevailing opinion...") without offering extensive rebuttal; this could be strengthened with more direct comparisons.

**Arguments for acceptance:**

*   Novel extension of recoverability results to causal queries.
*   Rigorous theoretical foundation and clear mathematical formulations.
*   Practical relevance demonstrated through application to attrition.
*   Solid connection to and expansion of existing literature on missing data.

**Arguments against acceptance:**

*   Dense presentation and heavy notation may limit accessibility.
*   Limited discussion of more recent imputation techniques.
*   Some claims of rectification require further elaboration and comparison.



**Overall:** This paper presents a significant theoretical contribution to the field of missing data, particularly within the context of causal inference. While the presentation could be improved for broader accessibility, the technical soundness, originality, and potential impact warrant acceptance. I recommend accepting this paper with minor revisions to address clarity and contextualization of existing work.
