This paper proposes augmenting traditional sentiment analysis features with cognitive features derived from eye-tracking data. The core idea is that readers’ eye-movement patterns reveal information about the cognitive processes involved in understanding nuanced language, and can therefore improve sentiment detection, particularly in cases of sarcasm and irony. The authors demonstrate modest improvements in F-score (up to 9.3%) on two datasets using this approach.

The primary contribution of this work, as I see it, is the exploration of incorporating eye-tracking data into a sentiment analysis pipeline and the demonstration, albeit modest, of performance gains. While the idea of leveraging cognitive features for NLP tasks is not entirely new (as the authors acknowledge in related work), applying it specifically to sentiment analysis, and demonstrating empirical results, represents a worthwhile contribution. A secondary contribution lies in the curated datasets used for evaluation, which contain instances with higher-level nuances like sarcasm and thwarted expectations – providing a challenging testbed for sentiment analysis models.

**Strengths:**

1. **Novelty of Approach:** The integration of eye-tracking data with traditional sentiment analysis features is a novel and interesting direction. While psycholinguistic studies have used eye-tracking extensively, its application to directly enhance sentiment classification performance is relatively unexplored. This provides a fresh perspective on tackling the challenges of nuanced sentiment expression.
2. **Empirical Validation:** The authors provide empirical evidence, through experiments on two datasets, showing that incorporating cognitive features can lead to improvements in sentiment detection accuracy. The statistical significance test (McNemar test) further strengthens this claim.
3. **Comprehensive Feature Set:** The authors consider a wide range of features, encompassing traditional sentiment features, sarcasm/thwarting-related features, and detailed cognitive features derived from eye-movement patterns. This thoroughness allows for a more comprehensive investigation of the potential benefits of each feature type.
4. **Challenging Datasets:** The use of datasets containing sarcastic and ironic texts is a strength. These datasets represent a more realistic and challenging test case for sentiment analysis models than datasets consisting solely of straightforward, explicitly-expressed sentiment. This highlights the potential of the approach to handle more complex linguistic constructs.

**Weaknesses:**

1. **Limited Performance Gains:** The performance improvements achieved (up to 9.3% on Dataset 2) are relatively modest, considering the complexity of acquiring and processing eye-tracking data. While statistically significant, the practical impact of these gains may be limited. This raises questions about the cost-benefit ratio of incorporating cognitive features.
2. **Weak Motivation for Cognitive Features:** The paper lacks a strong theoretical justification for *why* specific cognitive features should improve sentiment analysis. The connection between eye-movement patterns and the cognitive processes involved in sentiment understanding is asserted, but not convincingly demonstrated or explained. Simply stating that “cognitive processes in the brain are related to eye-movement activities” is insufficient.  What specific cognitive processes are being captured by each feature?
3. **Feasibility Concerns:** The discussion of feasibility in Section 7 feels speculative and unconvincing. The example involving mobile eye-trackers and e-commerce sentiment analysis lacks concrete details and doesn’t address the significant practical challenges of deploying such a system (e.g., user privacy, data collection costs, the intrusiveness of eye-tracking). The argument relies heavily on the future availability of technology and user willingness to participate.
4. **Granularity of Cognitive Features:** The complex gaze features based on "gaze-saliency graphs" seem overly complex.  It’s unclear if the added complexity translates into significant improvements in performance, and there's a risk of overfitting with so many features. A more focused analysis on a smaller set of key cognitive features might have been more effective.

**Questions to Authors:**

1.  Can you provide a more detailed explanation of the cognitive processes that each of the eye-tracking features is intended to capture? For example, how does “Fixation Duration at Left/Source” relate to specific aspects of sentiment processing?
2.  Did you investigate the correlation between individual cognitive features and specific types of sentiment (e.g., sarcasm vs. positive/negative sentiment)? This might provide insights into which features are most useful for different types of sentiment analysis.
3.  Given the relatively modest performance gains, have you considered alternative methods for reducing the computational cost and complexity of incorporating eye-tracking data (e.g., using a smaller subset of features, or employing dimensionality reduction techniques)?
4.  Can you elaborate on the potential ethical considerations associated with collecting and using eye-tracking data for sentiment analysis, particularly regarding user privacy and data security?



**Additional Comments:**

*   Table 3 would benefit from a brief explanation of the chi-squared test and the criteria used for ranking features.
*   The reference list appears incomplete (e.g., some citations within the text are not listed in the references).
*   Consider mentioning limitations of the datasets (e.g., sample size, domain specificity).



