This paper proposes BREAD, a method for bounding the Jeffreys divergence between approximate posterior samples (obtained via AIS or SMC) and the true posterior, leveraging bidirectional Monte Carlo. The core idea is sound – extending BDMC for log-marginal likelihood estimation to a measure of sample quality – and builds on recent work in the field. However, my assessment is cautiously negative. While the technical contributions are present, the paper lacks sufficient evidence of broad applicability and feels somewhat narrowly focused on validating the method itself rather than demonstrating its impact on real-world inference challenges.

The paper is clearly written and well-organized. The authors do a good job explaining the background and motivating the need for better MCMC diagnostics. The derivation of the Jeffreys divergence bound appears correct, and the toy examples presented demonstrate that the bound can be reasonably tight *in those specific cases*. However, the reliance on simulated data, even with the attempt to “calibrate” it using hyperparameter estimation, remains a significant weakness. The protocol for applying BREAD to real-world data feels like a workaround for the fundamental limitation of requiring an exact posterior sample, and the validation of this protocol (Fig. 1) doesn’t fully alleviate my concerns. The observation that simulated data generated using fitted hyperparameters “closely matches” real data behavior is based on visual inspection of AIS traces; a more rigorous quantitative comparison is needed.

The originality lies primarily in adapting BDMC to this new problem – bounding the divergence rather than the marginal likelihood. This is a reasonable extension, but not a radical departure. The related work section acknowledges Cusumano-Towner and Mansinghka’s concurrent work, highlighting a similar application of BDMC. The authors differentiate their approach by using the true posterior as the reference distribution in the reverse chain, versus an arbitrary distribution, but the practical impact of this difference isn’t convincingly demonstrated. 

The significance of the work is questionable. While having a principled way to *bound* the accuracy of approximate inference is valuable, the paper doesn’t convincingly demonstrate that BREAD reveals issues with existing inference methods that aren't already known or detectable through standard convergence diagnostics. The demonstration of finding a bug in WebPPL is a positive outcome, but it feels more like a stress test than a central contribution. The exploration of model representations (collapsed vs. uncollapsed) is interesting, but the findings – that Stan and WebPPL behave differently – are not particularly surprising, and the conclusions are limited to the specific model and dataset used.  The usefulness of BREAD for guiding model/algorithm design feels overstated. 

**Arguments for acceptance:**

*   The method is theoretically sound and represents a logical extension of BDMC.
*   The paper is clearly written and well-motivated.
*   Demonstration of finding a bug in WebPPL highlights the potential of the method as a debugging tool.

**Arguments against acceptance:**

*   The reliance on simulated data significantly limits the generalizability of the results.
*   The protocol for real-world data application feels ad-hoc and lacks strong validation.
*   The significance of the findings is unclear – it doesn't demonstrably improve upon existing diagnostic tools.
*   The paper focuses too heavily on validating the method itself rather than showcasing its practical impact.
*   The lack of quantitative comparison between real and simulated data.



Overall, I believe this paper is a reasonable piece of work, but it falls short of the high bar for acceptance at NIPS. The method is intriguing, but it needs more compelling evidence of its practical utility and broader applicability before it can be considered a significant contribution. I recommend rejection, but encourage the authors to further validate their approach on more complex real-world problems and to develop more robust methods for applying BREAD in settings where an exact posterior sample is unavailable.



