## ICLR Review

**1. Summary of Claims:**

This paper introduces a new benchmark consisting of five tasks and two datasets designed to evaluate the goal-oriented capabilities of end-to-end dialog systems, specifically within the restaurant reservation domain. The authors argue that current evaluation methods are insufficient, and that a structured approach breaking down goal-oriented dialog into subtasks is necessary to better understand the strengths and weaknesses of end-to-end models. They demonstrate the benchmark's usability by applying Memory Networks and comparing performance against rule-based and information retrieval baselines, highlighting the challenges that remain for end-to-end systems in achieving reliable goal completion.  They also show the benchmark correlates with real-world data.

**2. Decision:**

**Accept** with minor revisions. The paper addresses a critical gap in the evaluation of end-to-end dialog systems – the lack of a structured benchmark for goal-oriented tasks. The proposed tasks and datasets are well-motivated, designed for reproducibility, and provide insightful analysis of model performance.

**3. Supporting Arguments:**

*   **Clear Problem Definition:** The paper clearly articulates the limitations of existing evaluation methods for goal-oriented dialog, namely the difficulty in isolating specific skills and the lack of reproducibility.
*   **Well-Motivated Approach:**  The design of the tasks, mirroring sub-components of a complete dialog system (API calling, KB interpretation, etc.), is a sensible approach to dissecting the problem. The analogy to bAbI tasks is appropriate.
*   **Strong Empirical Support:** The authors provide a thorough experimental evaluation, comparing multiple methods across their benchmark and real-world datasets. The results clearly demonstrate that while end-to-end models show promise, they still fall short of traditional methods in achieving reliable goal completion (high per-dialog accuracy).
*   **Reproducibility:** The open-source release of the benchmark is a significant contribution and promotes further research.
*   **Correlation with Real-World Data:** The validation of the benchmark’s relevance using DSTC2 and a proprietary concierge dataset strengthens the findings.

**4. Additional Feedback (for improvement):**

*   **Discussion of Limitations:** While the authors acknowledge the limitations, expanding on the simplicity of the restaurant domain would be beneficial. A discussion of how the findings might generalize to more complex domains would add nuance.
*   **Hyperparameter Details:** While hyperparameters are given in the appendix, briefly mentioning key choices and their impact within the main body would be helpful.
*   **Error Analysis:** A more in-depth error analysis beyond the general observation of low per-dialog accuracy could be valuable. For instance, visualizing attention weights or identifying specific types of errors (e.g., incorrect KB entity extraction) could provide more actionable insights.
*   **Impact of Match Type Features:** The significant improvement from match type features is somewhat understated. Emphasizing the importance of handling OOV entities in the discussion would be beneficial.

**5. Questions for the Authors:**

*   How sensitive are the results to the size of the training data used for each task? A learning curve analysis would be insightful.
*   You mention the difficulty of generalizing to new entities. Have you explored any techniques specifically designed for OOV entity handling, beyond the match type features?
*   Could you elaborate on the rationale behind choosing Memory Networks as the primary end-to-end model? Were other architectures considered, and if so, why were they excluded?
*   The concierge dataset sounds very promising. Are there plans to release this dataset publicly, or at least a more detailed description of its characteristics?



