This paper proposes a novel extension to Additive Factorial Hidden Markov Models (AFHMMs) by incorporating Signal Aggregate Constraints (SACs) to improve performance in blind source separation, specifically demonstrated through an application to energy disaggregation. The core idea is to leverage domain knowledge about expected total signal values for each source, encouraging the aggregate signal to be close to a specified value. The authors formulate this as a convex quadratic program, enabling efficient approximate inference, and demonstrate significant performance improvements on both simulated and real-world energy disaggregation datasets compared to standard AFHMM and a recent state-of-the-art approach (AFAMAP).

The paper is well-motivated, clearly articulating the challenges of blind source separation and the benefits of incorporating domain knowledge to address identifiability issues. The introduction effectively contextualizes the work within the broader field, referencing related work in probabilistic modeling and energy disaggregation. The proposed SACs offer a principled way to inject prior information, and the transformation to a convex optimization problem is a significant technical contribution, making the approach computationally tractable. The empirical evaluation, utilizing both a toy dataset and real-world energy data, convincingly demonstrates the effectiveness of the proposed method. The performance gains, especially on the HES dataset, are substantial, and the statistical significance tests support the claims of improvement. The computational efficiency is also encouraging, with comparable speed to existing methods.

The strengths of this work are numerous. The problem is relevant and practically important, particularly in the context of energy management and conservation. The proposed approach is novel, well-justified, and technically sound. The experimental validation is thorough and demonstrates clear improvements over existing methods. The clarity of the writing is commendable, making the paper accessible to a broad audience. The connection to posterior regularization further strengthens the theoretical grounding of the work.

However, there are some areas where the paper could be improved. While the authors claim convexity for the problem formulation in equation (6), a formal proof or more detailed justification would be beneficial. The discussion regarding the toy experiment could be strengthened by providing a Signal-to-Noise Ratio (SNR) analysis or clarifying the realism of the chosen noise variance. A theoretical scaling/complexity analysis, detailing how the computational cost scales with the number of time steps and hidden states, would also be valuable, particularly for assessing the tractability of the approach on larger datasets. Although performance is comparable to AFAMAP in terms of speed, a more detailed comparison of scalability and memory requirements could further illuminate the practical implications.  There's a minor notation issue on page 4 (line 202) where there appear to be extra commas in the subscripts before 'p'.

**Originality:** The approach of incorporating signal aggregate constraints into an AFHMM is a novel contribution. While the underlying techniques (AFHMMs, convex optimization) are established, the specific application of SACs and the resulting formulation represent a significant advance. The paper adequately references related work, positioning the contribution within the existing literature.

**Significance:** The results demonstrate a demonstrable improvement in energy disaggregation accuracy, a problem with significant real-world implications. The potential for reducing energy consumption and improving household awareness makes this work highly relevant. While I am not an expert in the HMM community or energy applications, the improvements appear substantial enough to warrant attention from researchers in both fields.

**Quality:** The paper is technically sound and the claims are well-supported by experimental results. The authors demonstrate a careful evaluation of both the strengths and weaknesses of their approach. The transformation to a convex quadratic program is a key technical achievement, and the empirical validation provides strong evidence for the effectiveness of the method.

**Clarity:** The paper is exceptionally well-written and organized. The mathematical notation is clear and consistent, and the explanations are concise and easy to follow. The figures and tables are informative and effectively illustrate the key results.



**Arguments for acceptance:**

*   Novel and effective approach to energy disaggregation.
*   Significant performance improvements over existing methods.
*   Technically sound and well-justified.
*   Clear and concise writing.
*   Strong experimental validation.

**Arguments against acceptance:**

*   Lack of a formal proof of convexity.
*   Limited discussion of SNR and realism of toy experiment parameters.
*   Missing theoretical scaling/complexity analysis.

**Overall Recommendation:**

I recommend accepting this paper. The authors have presented a novel and well-executed contribution to the field of blind source separation and energy disaggregation. While there are some minor areas for improvement, the strengths of the work outweigh the weaknesses. The authors have responded to reviewer feedback satisfactorily and incorporating those clarifications would further strengthen the paper. I believe this work has the potential to significantly impact the field and is a valuable addition to the NIPS conference.



